"ID","Functionar","EMAIL","TIP MODIFICARE","TEXT","DATA"
"143","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""titlu_proiect"" din ""Amenajare spațiu amenajat în fața Gării din Constanță"" în ""Amenajare spațiu amenajat în fața Gării din Constanța"" pentru elementul cu id #12","15-08-2022 10:47:14"
"135","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""status_proiect"" din ""depus"" în ""respins"" pentru elementul cu id #21","12-08-2022 16:09:07"
"134","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""motivare"" din """" în ""titlu gresit"" pentru elementul cu id #21","12-08-2022 16:09:07"
"133","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""status_proiect"" din ""respins"" în ""depus"" pentru elementul cu id #21","12-08-2022 16:08:41"
"132","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""motivare"" din ""titlu gresit"" în """" pentru elementul cu id #21","12-08-2022 16:08:41"
"131","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""status_proiect"" din ""validat"" în ""respins"" pentru elementul cu id #21","12-08-2022 16:07:45"
"130","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""motivare"" din """" în ""titlu gresit"" pentru elementul cu id #21","12-08-2022 16:07:45"
"129","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""status_proiect"" din ""depus"" în ""validat"" pentru elementul cu id #21","12-08-2022 14:53:10"
"124","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""status_proiect"" din ""validat"" în ""depus"" pentru elementul cu id #21","12-08-2022 14:51:57"
"119","Admin","admin@webis.ro","modificare proiect","Ștergere atașament poza-la-rambla.jpg pentru proiectul cu id-ul #65","12-08-2022 14:47:08"
"118","Admin","admin@webis.ro","modificare proiect","Adăugare atașament poza-la-rambla.jpg pentru proiectul cu id-ul #65","12-08-2022 14:46:09"
"117","Admin","admin@webis.ro","modificare proiect","Adăugare atașament poza-la-rambla.jpg pentru proiectul cu id-ul #65","12-08-2022 14:36:40"
"116","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""id_domeniu"" din ""65"" în ""5"" pentru elementul cu id #65","12-08-2022 14:14:06"
"115","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""id_domeniu"" din ""5"" în ""65"" pentru elementul cu id #65","12-08-2022 14:13:13"
"114","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""id_domeniu"" din ""65"" în ""5"" pentru elementul cu id #65","12-08-2022 14:12:19"
"113","Admin","admin@webis.ro","modificare proiect","Modificare câmp ""id_domeniu"" din ""5"" în ""65"" pentru elementul cu id #65","12-08-2022 14:10:27"
